timestamp,mode,throughput_mbps,previous_throughput_mbps,buffer_sec,latency_ms,packet_loss_pct,jitter_ms,current_quality,selected_quality,selected_bitrate_kbps,confidence,risk_score,protection_action,reason
1779952162.024,ai,1.036,1.605,17.654,40.6,0.49,11.2,0,0,400,0.831,,,stable network
1779952164.054,ai,1.036,1.036,17.654,40.5,0.5,11.1,0,0,400,0.873,,,stable network
1779952166.027,ai,1.036,1.036,17.654,40.3,0.5,10.6,0,0,400,0.874,,,stable network
1779952168.051,ai,1.036,1.036,17.654,39.9,0.5,9.9,0,0,400,0.874,,,stable network
1779952169.663,ai,1.818,1.036,16.318,39.4,0.49,8.9,0,0,400,0.552,,,stable network
1779952172.414,ai,2.68,1.5,17.388,39,0.5,8,0,1,1000,0.836,,,stable network
1779952174.418,ai,2.887,2.68,15.536,39.5,0.5,9,1,1,1000,0.918,,,stable network
1779952176.424,ai,3.065,2.887,13.406,40,0.49,10,1,1,1000,0.917,,,stable network
1779952178.424,ai,3.19,3.065,16.344,40.3,0.48,10.7,1,1,1000,0.924,,,stable network
1779952180.447,ai,3.25,3.19,14.226,40.6,0.47,11.1,1,1,1000,0.896,,,stable network
1779952182.439,ai,3.233,3.25,17.159,40.6,0.45,11.2,1,1,1000,0.891,,,stable network
1779952184.423,ai,3.14,3.233,15.043,40.5,0.44,10.9,1,1,1000,0.899,,,stable network
1779952186.431,ai,2.977,3.14,13.175,40.2,0.42,10.3,1,1,1000,0.9,,,stable network
1779952188.414,ai,2.759,2.977,15.845,39.7,0.4,9.5,1,1,1000,0.909,,,stable network
1779952190.434,ai,2.505,2.759,13.964,39.2,0.42,8.5,1,1,1000,0.878,,,stable network
1779952192.423,ai,2.239,2.505,16.633,39.3,0.44,8.6,1,1,1000,0.79,,,stable network
1779952194.439,ai,1.986,2.239,14.773,39.8,0.46,9.6,1,1,1000,0.638,,,stable network
1779952196.419,ai,1.768,1.986,17.459,40.2,0.47,10.4,1,1,1000,0.547,,,stable network
1779952198.425,ai,1.605,1.768,15.597,40.5,0.49,11,1,0,400,0.831,,,stable network
1779952200.432,ai,1.143,1.605,13.464,40.6,0.49,11.2,0,0,400,0.891,,,stable network
1779952202.426,ai,1.168,1.143,16.4,40.5,0.5,11.1,0,0,400,0.889,,,stable network
1779952204.431,ai,1.168,1.168,14.268,40.3,0.5,10.6,0,0,400,0.895,,,stable network
1779952206.426,ai,1.163,1.168,16.948,39.9,0.5,9.9,0,0,400,0.887,,,stable network
1779952208.425,ai,1.818,1.163,15.081,39.4,0.49,8.9,0,0,400,0.541,,,stable network
1779952210.429,ai,2.006,1.818,12.956,39.1,0.48,8.2,0,1,1000,0.614,,,stable network
1779952212.428,ai,2.197,2.006,15.892,39.6,0.47,9.2,1,1,1000,0.751,,,stable network
1779952214.434,ai,2.369,2.197,13.774,40.1,0.45,10.1,1,1,1000,0.853,,,stable network
1779952216.522,ai,2.501,2.369,16.713,93,0.43,10.8,1,1,1000,0.858,,,stable network
1779952218.438,ai,2.58,2.501,14.571,40.6,0.41,11.1,1,1,1000,0.912,,,stable network
1779952220.433,ai,2.595,2.58,17.518,40.6,0.41,11.2,1,1,1000,0.896,,,stable network
1779952222.415,ai,2.548,2.595,15.381,40.4,0.43,10.8,1,1,1000,0.912,,,stable network
1779952224.43,ai,2.444,2.548,17.235,40.1,0.45,10.2,1,1,1000,0.872,,,stable network
1779952226.429,ai,2.298,2.444,15.115,39.7,0.46,9.3,1,1,1000,0.829,,,stable network
1779952228.42,ai,2.127,2.298,13.255,39.1,0.48,8.3,1,1,1000,0.753,,,stable network
1779952230.443,ai,1.956,2.127,11.121,39.4,0.49,8.8,1,1,1000,0.619,,,stable network
1779952232.419,ai,1.805,1.956,9.27,39.9,0.5,9.7,1,0,400,0.555,,,stable network
1779952234.432,ai,1.696,1.805,7.13,40.3,0.5,10.5,0,0,400,0.67,,,stable network
1779952236.439,ai,1.168,1.696,5.263,40.5,0.5,11,0,0,400,0.911,,,stable network
1779952238.432,ai,1.168,1.168,3.149,40.6,0.5,11.2,0,0,400,0.93,,,stable network
1779952240.426,ai,1.168,1.168,1.273,40.5,0.49,11,0,0,400,0.965,,,low buffer
1779952242.425,ai,1.168,1.168,0,40.3,0.48,10.5,0,0,400,0.965,,,low buffer
1779952244.426,ai,2.117,1.168,0,39.9,0.46,9.7,0,0,400,0.805,,,low buffer
1779952246.428,ai,2.361,2.117,0,39.4,0.44,8.7,0,0,400,0.843,,,low buffer
1779952248.433,ai,2.617,2.361,0,39.2,0.43,8.3,0,0,400,0.905,,,low buffer
1779952250.422,ai,2.862,2.617,0,39.7,0.41,9.3,0,0,400,0.882,,,low buffer
1779952253.035,ai,3.07,2.862,0,40.1,0.41,10.2,0,0,400,0.893,,,low buffer
1779952255.021,ai,3.223,3.07,0,40.4,0.43,10.9,0,0,400,0.87,,,low buffer
1779952257.031,ai,3.306,3.223,0,40.6,0.45,11.2,0,0,400,0.868,,,low buffer
1779952259.022,ai,3.31,3.306,0,40.6,0.47,11.1,0,0,400,0.881,,,low buffer
1779952261.029,ai,3.238,3.31,0,40.4,0.48,10.8,0,0,400,0.886,,,low buffer
1779952263.023,ai,3.096,3.238,0,40,0.49,10.1,0,0,400,0.879,,,low buffer
1779952265.05,ai,2.901,3.096,0,39.6,0.5,9.2,0,0,400,0.859,,,low buffer
1779952267.032,ai,2.672,2.901,0,39.1,0.5,8.1,0,0,400,0.879,,,low buffer
1779952269.036,ai,2.434,2.672,0,39.5,0.5,8.9,0,0,400,0.85,,,low buffer
1779952271.029,ai,2.21,2.434,0,39.9,0.49,9.9,0,0,400,0.807,,,low buffer
1779952273.037,ai,1.168,2.21,0,40.3,0.48,10.6,0,0,400,0.94,,,low buffer
1779952275.031,ai,1.168,1.168,0,40.5,0.47,11.1,0,0,400,0.965,,,low buffer
1779952277.022,ai,1.168,1.168,0,40.6,0.46,11.2,0,0,400,0.971,,,low buffer
1779952279.017,ai,1.168,1.168,0,40.5,0.44,11,0,0,400,0.954,,,low buffer
1779952281.026,ai,1.876,1.168,0,40.2,0.42,10.4,0,0,400,0.805,,,low buffer
1779952283.029,ai,1.99,1.876,0,39.8,0.4,9.6,0,0,400,0.792,,,low buffer
1779952285.029,ai,2.139,1.99,0,39.3,0.42,8.6,0,0,400,0.789,,,low buffer
1779952287.027,ai,2.302,2.139,0,39.2,0.44,8.5,0,0,400,0.833,,,low buffer
1779952289.027,ai,2.456,2.302,0,39.7,0.46,9.5,0,0,400,0.871,,,low buffer
1779952291.015,ai,2.581,2.456,0,40.2,0.47,10.3,0,0,400,0.897,,,low buffer
